Dimension 1,Dimension 2,Dimension 3,Dimension 4,Dimension 5,Dimension 6,Dimension 7,Dimension 8,Dimension 9,Dimension 10,Dimension 11,Dimension 12
0.027680363,0.58172852,0.040682107,?,0.075535638,0.289970503,0.105973796,0.234082711,0.893664066,0.880286747,0.498979602,0.001390421
0.747682889,0.941057415,0.8793545,0.954861866,0.924443209,0.285945862,0.603574468,0.233426535,0.271256662,0.685653225,0.982708866,0.001623399
0.256456335,0.746354675,?,0.144643433,0.746049221,0.499255678,0.045876121,?,?,0.229367755,0.595534667,0.002445045
0.024664155,0.606021552,0.677693914,?,?,0.51576272,0.965211739,0.250309514,0.101840027,0.455755011,?,0.003365722
0.835567827,0.177370807,?,0.25262686,0.023472471,0.661577162,0.365671988,0.607145973,0.094093159,0.170676608,?,0.008650842
0.025651657,0.531998964,0.642554142,0.349360481,0.082273419,0.441210482,0.502683082,0.11022377,0.981922583,0.452107899,?,0.011326095
?,0.138587659,0.371287502,0.020737292,0.705164078,?,?,?,0.621655713,?,?,0.011392905
?,?,0.271838851,?,0.409840056,0.374063132,0.357030031,0.183120216,0.874140323,0.094834724,0.389264957,0.012463863
?,0.46959546,0.284471555,0.627907739,0.975712636,?,0.259852142,0.608594091,0.972326063,0.263375004,0.327044457,0.013442461
0.187958666,0.205006503,0.65941448,0.234635834,0.16036984,0.285692862,0.734730673,0.436362424,0.477204196,0.732748373,0.96327575,0.016958876
0.822075835,0.612524272,?,0.818264492,?,?,0.766920329,0.200488284,0.375129669,?,0.191346459,0.017412037
0.372079205,0.925428675,?,0.599969056,0.146900225,0.775412789,?,0.400471209,?,?,0.578640714,0.019893334
0.458133106,?,0.509758318,0.505577602,?,0.992503343,0.50952399,0.569915268,0.672454076,0.56570466,0.358819867,0.020954423
0.273880258,0.791387267,0.745305783,0.219381809,0.225519445,?,0.432588059,?,?,0.189467211,0.334682782,0.020999948
0.931268724,0.369075953,0.964454004,0.927293699,0.586497935,0.615265529,0.034048329,?,0.059773797,?,0.686358905,0.025125908
0.336862595,0.63784298,0.187240034,0.703355714,0.553406601,0.754141249,0.329286849,0.460478863,0.519946462,?,0.686405365,0.025733821
0.353910538,0.607470846,0.185352444,0.248700204,0.604510232,0.047125731,0.56630806,?,0.87552275,0.90975733,0.725418448,0.026988517
0.466734804,?,?,0.255611192,0.4419651,0.450865535,0.876506846,0.608501832,0.609950593,0.164006606,?,0.027208434
?,0.111845121,0.181457665,0.027395819,0.544408005,0.061314284,0.828018476,0.175699095,0.900702793,?,0.047201182,0.027795998
0.863844308,0.66991743,0.321972068,0.459813185,?,0.158276523,0.45776639,0.538778027,0.288527948,0.412113278,?,0.02909172
0.942426388,0.449375569,0.743758576,?,0.107234076,0.435680427,?,0.534536798,0.941751803,0.425908899,0.109818936,0.029147214
0.77808784,0.48689305,0.29067609,0.152677401,?,?,0.712375815,0.187407809,0.38242783,0.598576754,0.30133948,0.029426867
0.190531728,0.559973473,0.491854506,0.345633389,0.565681546,0.208235549,0.266822961,?,0.610511728,0.207600226,?,0.03086933
0.843642233,0.435294698,?,0.837046759,?,0.11047153,?,0.202138901,0.178320457,0.179141288,0.35767744,0.031861518
0.032105818,?,?,0.083554538,0.825807038,0.499828068,0.537874664,0.243136941,0.587505606,?,0.369061093,0.035596291
0.48504759,0.90245519,0.301829096,0.602763297,0.387364691,0.510820744,0.003535235,?,?,0.889103519,0.786030164,0.035623121
0.346479102,?,?,0.397655875,0.114439637,0.883349381,0.222169087,0.026124818,?,?,0.420151608,0.04116371
?,0.828558768,0.420766678,0.396486289,0.231411927,0.816475417,?,0.89307984,?,0.635657828,0.683820112,0.041543726
0.611595942,0.675910179,0.789987537,0.57778254,0.846383392,0.909303844,0.168672131,0.594111562,0.262170399,0.470462699,0.228434053,0.04162953
0.18101967,0.729893601,0.136416357,0.732287866,0.611015781,0.105488477,0.995092227,0.464047163,0.636153989,?,?,0.041725774
0.477513143,0.331830266,0.38135158,0.338250906,0.229378483,0.597748153,0.902240185,?,0.155992186,0.371523305,0.223706594,0.042991669
0.67231051,?,0.260863272,?,0.930858179,?,0.617681125,0.030569767,0.097241699,0.253258827,0.540461265,0.044024208
0.310832961,0.432074671,0.326104523,0.099716771,0.017085669,0.32295427,0.077612732,0.383320644,0.771323106,?,?,0.047142243
0.207918119,0.763764293,0.623130648,0.3309118,0.411607769,0.201582705,0.660156155,0.960867296,0.922733823,0.63333439,?,0.047967382
0.045437791,0.1419378,0.638463057,?,0.581411178,0.56427993,0.012053092,?,0.905960913,0.275236788,0.048530106,0.049147152
0.998715352,0.349067437,0.453010324,0.35310239,0.812743608,?,?,0.077867019,?,0.06697477,0.880745203,0.052832225
0.48955971,0.420148204,0.19457363,0.148788618,0.394850025,0.137665066,0.086815368,0.811870786,0.316645543,?,0.083889358,0.055777037
0.276117433,0.002980841,0.446004172,0.499310689,0.338100864,0.594711502,?,0.841581548,?,0.570930649,0.510300917,0.060207036
0.086145199,0.66648582,0.81304945,0.741983315,0.269688424,?,0.879185071,?,0.580704735,0.533744974,0.929817537,0.061519517
0.054809374,0.491788432,0.407071847,0.417824267,0.220601344,?,0.164354615,0.451389174,0.030889193,0.0085884,?,0.061526623
0.878282724,0.842118623,0.106420783,0.923081803,0.632135973,?,0.852630794,?,0.395098856,0.12980484,?,0.062250445
0.973759681,?,0.080192266,0.441084012,0.137955827,0.664206599,0.31280437,0.834985791,0.786079364,0.406934825,0.905149519,0.062751968
0.012141604,?,?,0.1836291,0.832956377,0.996272911,0.53706687,0.546068617,0.162896213,0.355262667,0.029937495,0.063961881
0.110156806,?,0.942433515,0.219719674,0.9942642,0.448732858,0.332877316,0.269172356,0.26708139,0.772577533,0.090632866,0.065273369
0.026009016,0.975395606,0.991472304,0.010945477,0.516952897,0.994265579,0.651433074,0.733376447,0.182482049,0.348224286,?,0.065801153
0.772434788,?,0.829453334,0.530988756,0.608811355,?,0.860563097,0.712111121,0.928991236,0.754856341,0.846379175,0.068512549
0.039140274,0.762456467,0.490511774,0.916070294,0.261660354,0.57128557,?,0.225911152,0.596181553,?,0.703020583,0.068671108
0.599078216,0.617822235,0.124178398,?,0.861523125,0.629110648,?,0.956048337,0.485682922,0.953255762,0.891186408,0.069219779
0.359054982,0.972631743,0.241814504,0.217851591,0.89843788,?,0.747116587,0.004143052,0.351348578,0.398562556,0.332835812,0.070225695
0.799295467,0.904456554,0.479972283,0.2300132,0.808366141,0.180342505,0.381980196,?,0.203243424,?,0.806781722,0.07125157
0.124925262,?,0.552725535,0.544823693,0.777329984,0.882065787,0.01927315,0.223616691,0.235225922,?,?,0.07306256
0.230725938,0.672825488,0.584223805,0.104381775,0.128912877,0.479289482,0.875323429,0.563438288,0.842698038,0.086888241,0.971125833,0.073750927
0.868544401,0.28974009,0.406559714,0.742697309,0.026894623,0.890983962,0.641142845,0.060544494,0.679705643,?,0.922193523,0.075631535
0.373528054,0.802531468,0.097444987,0.049949344,0.08635441,0.59260691,?,0.334250258,0.468669583,0.963286048,0.893187625,0.076344637
0.933597827,0.992294866,0.289128243,0.80775852,0.524202472,0.851008412,0.100248806,?,0.606695974,0.33204594,0.720286648,0.077380829
0.153909607,?,0.650722566,0.005892132,0.997129344,?,0.918915515,0.800430702,0.4400442,0.840849684,?,0.080148728
0.837009549,?,0.668134145,0.790482782,0.895033761,0.493350457,0.512480729,?,0.863252165,0.103174623,0.305290407,0.08101736
0.85424582,0.677957857,0.693670293,0.908745406,?,0.079207943,0.947430521,0.826892776,0.553123575,?,?,0.083405283
?,0.867312484,0.331654024,0.289190755,0.144713853,0.762097166,0.758208767,?,0.084304367,?,?,0.083699628
0.308543264,0.622644263,0.958743081,0.14701635,0.025469869,0.863238367,0.195093484,0.758436172,?,0.804154512,0.157541827,0.085366535
0.023759207,0.137076575,?,0.307340688,0.430960147,0.797037353,0.622819783,0.024133285,0.10891933,?,0.415424214,0.085863252
0.565229581,0.145051576,0.974680797,?,0.983363384,0.970159012,0.477384366,0.586975595,0.463710248,?,0.322258353,0.086470269
?,0.212903078,0.388373081,0.36245717,0.991072855,0.389550907,0.834257067,0.469497077,0.516408934,0.847915871,0.516654427,0.086514736
0.909099151,0.935215784,?,?,0.950603913,?,?,0.109124252,?,?,0.526937332,0.088259809
0.434832588,0.912996269,0.936505754,0.568353979,0.344292933,?,?,0.176503923,0.256764054,0.256274329,?,0.089158846
?,0.283046362,0.238777369,0.273033188,0.371238249,?,0.747178328,0.270234862,?,0.434325138,0.174922448,0.0915224
0.980715587,?,0.476787723,0.57884356,0.809306411,?,0.21565119,0.82154604,0.421771278,0.60631492,0.004029758,0.093551772
0.587773434,0.090781771,0.698659364,0.608755226,0.160760263,0.178978361,?,?,?,0.811682347,0.544696646,0.093698366
?,0.659450437,0.507880375,?,?,?,0.719737243,?,0.929167411,?,0.881178527,0.094931318
0.715647517,0.569882622,0.757870451,?,?,?,0.813514818,?,0.889097712,0.170282573,0.900569286,0.094988097
0.602210278,?,0.694493362,0.740998618,0.060936814,?,0.456889117,0.34481019,0.908407519,0.777438212,?,0.095260225
0.47442975,0.233119635,0.751411473,0.770307574,0.33273488,0.79057825,0.460273821,0.748567088,0.772787928,?,0.046066483,0.096223502
0.41631506,0.10684001,0.663096307,0.492541827,0.046065103,?,?,0.362633772,0.086461393,0.187964592,0.037330085,0.097242552
0.218081026,0.142370505,0.351927216,0.387781104,0.946221114,0.293051044,0.63387876,0.86744381,0.914997363,0.175238924,0.171128763,0.097471366
0.393467943,0.404540455,0.23512783,?,0.644602076,0.652317005,0.771253073,?,?,0.518900168,?,0.097542748
0.364204087,0.414418338,0.92129677,?,?,0.92477501,?,0.482708263,0.356785938,?,0.103367335,0.099840098
0.159748067,0.707484585,0.790973632,0.262206712,0.141596121,0.473121649,0.443572384,0.319685852,0.546468688,?,?,0.099855378
0.536842528,?,0.201638248,0.853103805,0.179707463,?,0.055031086,0.119518217,0.593977315,?,?,0.099999601
?,?,0.981843917,0.084518121,?,?,0.985913827,0.031879218,0.832823125,0.21449242,0.821861849,0.100799438
?,0.566238146,?,0.081302918,0.69163659,?,0.777161731,0.71532881,0.801007743,0.283396738,0.303914523,0.100920137
?,0.229559589,0.046542222,0.617995146,0.663669645,?,0.658356542,0.312486798,0.918648767,0.75724064,0.530656533,0.101164547
0.962672306,0.975078408,0.100552577,0.721553353,0.641493644,0.538435528,0.142431628,0.104705803,0.698145991,0.098120151,0.554285355,0.101920144
0.220443816,?,0.410871401,0.304779755,0.268211087,?,0.464269168,?,0.858318875,?,?,0.102501383
0.205983775,0.804091395,?,0.030995948,?,0.879621661,0.444136045,0.968219601,0.497633256,0.025124215,?,0.102742242
0.125768016,?,0.337053776,0.054383947,0.980149558,?,0.303903966,?,0.050744448,0.576475826,0.662098016,0.103310462
0.268974332,0.211508829,0.422934147,0.003402275,0.618606828,?,0.835485538,0.239390412,0.475502845,0.945853224,0.182040113,0.103957897
?,0.713150513,0.050797995,0.183788501,0.755663163,0.813017176,0.734213858,?,0.48303125,?,0.055655226,0.104349065
0.355591543,0.253922073,0.405598378,0.241725653,0.124782734,0.954297597,0.7035826,0.34745266,0.42122042,0.70907556,0.893473778,0.105295897
0.431790928,?,0.855310207,0.006131353,0.181337085,0.160861503,0.881500079,0.549828169,?,0.753634958,0.363278786,0.106772773
?,0.282039063,0.660019886,0.17818072,0.474477541,0.9336359,0.897797311,0.096063299,0.254691225,0.164592937,0.041820769,0.108156818
0.95265521,0.337207681,0.176661496,0.526588179,0.673774798,0.457773417,0.604771554,0.341039096,?,0.777261377,0.512304817,0.109410419
0.765797515,0.805301324,?,0.714821759,0.043613073,0.584522383,0.159271725,0.151024419,0.541625293,?,0.913321033,0.109711322
?,0.687568799,0.411302251,0.229704526,?,0.276227861,0.953463512,0.636105803,0.671239518,0.205795264,0.430383926,0.110113765
?,0.71607207,0.442034106,?,0.967172833,0.763188336,0.192190464,?,0.523461534,0.213756161,0.452648637,0.11634446
0.903560352,0.713717093,0.941599152,0.011225554,0.106556331,0.171591454,0.860682494,0.134779508,0.812849626,0.097973458,0.061476617,0.116967931
0.318645668,0.881558311,0.176180269,0.097095126,0.891387646,0.269514813,?,0.683093203,0.450806569,0.127957109,?,0.11972339
0.354220362,0.229386571,?,?,0.73954035,0.454061549,0.685377254,0.785422841,0.94882126,0.947009064,?,0.124199135
?,?,0.837631847,0.170933571,0.724098593,?,?,0.322368939,?,0.357366877,0.193733302,0.12507664
0.95041206,0.656124258,0.387554749,0.860666187,0.10864414,0.133316973,?,0.86633348,?,0.357204073,?,0.126072147
0.789821952,0.027144954,0.441399422,0.294585561,?,0.513818037,?,?,0.645077496,0.803267119,0.636866492,0.127406217
0.822222649,0.97107833,0.513777624,0.193636965,?,?,0.067288533,0.432099107,?,0.349589899,?,0.128402968
0.731648085,0.68060458,0.304791004,?,0.914989524,?,0.22847806,0.422266696,0.257629997,0.536050129,0.206836178,0.128772866
0.467030998,0.972363617,0.220070773,?,0.552231849,?,?,0.553787837,0.597112996,0.263086844,0.057716615,0.129086185
0.134052613,0.705518393,0.542084601,0.859741148,0.006762805,0.395516175,0.714254528,0.308150793,0.727976156,0.204582896,0.397286306,0.129615595
0.132335984,0.623808119,0.443847763,?,0.98093167,?,0.62853243,0.184757806,0.076086904,0.599462136,0.20776722,0.130947981
0.574371348,0.420295144,0.96203389,0.916337105,0.458980724,?,0.73318203,0.010059353,0.390650453,0.677259462,0.704735085,0.131582062
0.458839203,0.218620159,0.460339423,0.536403542,0.167713032,0.347941555,0.808067164,0.217200963,0.148197653,0.842819309,0.817492762,0.13221582
0.204694493,?,0.385305181,0.18079558,?,0.93832302,?,0.570366936,?,0.821734737,0.955098282,0.13336961
0.865895605,0.493736834,0.448495273,0.756672236,0.254396173,0.281717093,?,0.913030427,0.540562607,0.918234935,?,0.133829367
0.726080186,0.502074993,0.465597464,?,0.33785946,0.180822373,0.203500563,0.415158418,0.509749077,0.726481863,0.986173677,0.134746777
0.864396955,?,0.49676365,0.901039961,0.089428666,0.589877919,0.497429446,0.974083311,0.520251554,0.079817003,0.996371595,0.137655654
0.499303347,0.742579107,0.370930045,?,0.812051387,?,0.817245866,?,0.520392199,0.705189729,0.924354649,0.137704641
0.603424068,0.284885449,0.843902515,0.693644881,?,0.511368235,0.241071251,0.062418503,0.661021654,?,0.784383814,0.138240786
0.588093503,0.636720178,0.081803014,0.729981365,0.236016222,?,0.963997008,?,?,0.941008704,0.848794016,0.13843145
0.838537598,0.616283002,?,0.542341629,0.282536021,0.637610682,0.539309661,0.236556925,?,?,?,0.139166087
0.737762485,0.430054619,?,0.174301551,0.549163288,0.832977603,0.666544323,0.983066948,0.960989071,?,0.934712757,0.139372325
0.598291148,0.327602217,0.284913682,0.25465318,0.188082031,?,?,?,0.644040975,?,?,0.139558343
0.256424131,0.70596687,0.077481119,?,0.96809151,0.642702328,?,0.337815125,0.669083534,0.971303507,0.68932731,0.140549442
